OS name,Processor Architecture,version,release time (YYYY-MM-DD),img name,MD5,SHA256,note
MLNX-OS,X86_64,3.10.6004,2023/5/2,image-X86_64-3.10.6004,def8e389c499e67b44c45840a889b91c,8c38a87789d195ce8c14ee561517374c692adddb66b5af8ebf5b8a23bb9be03b,
MLNX-OS,X86_64,3.10.4300,2023/7/2,image-X86_64-3.10.4300,23c361eff297489152143472c90477e0,d23dc1c20b45b7c11d032a3e51d3b27122de1a3b7d7251743f6b758f333a36d5,
MLNX-OS,X86_64,3.11.1004,2023/8/13,image-X86_64-3.11.1004,949e39dc51aab9b80ff9e8328bb204a5,fa735f2bade54a9c4dd1855b6a11dbced6a0555b5d7948bb66074d340d3bdf08,
MLNX-OS,X86_64,3.11.1014,2023/9/10,image-X86_64-3.11.1014,e93605cca1b31ef131233dd369f28871,209004393b72862f69932be1738c195c0898c404e8acab2294d3bbb72ee78da2,
MLNX-OS,X86_64,3.11.2002,2023/11/2,image-X86_64-3.11.2002.img,4ee259f15acd958534c1b66a962d6a87,06ce2c1eb4ab001729c2bdb7ca373fbb445179577562ec3a2a2d4e11ff0f3072,nvidia provides wrong SHA256
MLNX-OS,X86_64,3.11.2006,2023/11/21,image-X86_64-3.11.2006,1b978ae953bb8ecd8b1f58fce0ff2151,06ce2c1eb4ab001729c2bdb7ca373fbb445179577562ec3a2a2d4e11ff0f3072,nvidia provides wrong SHA256
MLNX-OS,X86_64,3.10.4400,2024/1/1,image-X86_64-3.10.4400,c26361a461aa35a1e2b463c064deffbd,672deb24a250249a549f9e57e9e7005015b125afd78f59fd06cbacb5d5c0c34f,
MLNX-OS,X86_64,3.11.2016,2024/1/7,image-X86_64-3.11.2016,926a546e6760e2b58794fe83f4af8060,e8fa6eccf195a339a740c9873b770ddfafad812e1f5c2fe4a9216e161cd8d521,
MLNX-OS,X86_64,3.11.3002,2024/2/1,image-X86_64-3.11.3002,ca2ac6ea72445754d04ac60ca5081b95,ea0d2b63d33f18b14d6ce1d51e2422120a6e6074c2ac28b53219e6428e8e2bba,
MLNX-OS,X86_64,3.11.2202,2024/3/4,image-X86_64-3.11.2202,1fb72b179854acf99209c35e3a964f16,e5293d9314909289b6c6117fd5dd9a4d6cce1bad3acade1d62828b22293c6eeb,
MLNX-OS,X86_64,3.11.3006,2024/3/13,image-X86_64-3.11.3006,37be032bde1a2ac491da5e9dab351304,5674c2a721eb9957fea9956e26c902ea9bd671f5b4c60d34766aadcc74c0e6ef,
